ENSG00000001167	ENSG00000062725
ENSG00000002330	ENSG00000175793
ENSG00000002330	ENSG00000182944
ENSG00000002586	ENSG00000135018
ENSG00000002822	ENSG00000002822
ENSG00000002822	ENSG00000101004
ENSG00000002822	ENSG00000114019
ENSG00000002822	ENSG00000120498
ENSG00000002822	ENSG00000137699
ENSG00000002822	ENSG00000137822
ENSG00000002822	ENSG00000147140
ENSG00000002822	ENSG00000164109
ENSG00000002822	ENSG00000185519
ENSG00000002834	ENSG00000071539
ENSG00000002834	ENSG00000112559
ENSG00000002834	ENSG00000183386
ENSG00000002834	ENSG00000188313
ENSG00000004838	ENSG00000166925
ENSG00000004975	ENSG00000004975
ENSG00000004975	ENSG00000006194
ENSG00000004975	ENSG00000063244
ENSG00000004975	ENSG00000072958
ENSG00000004975	ENSG00000101751
ENSG00000004975	ENSG00000111667
ENSG00000004975	ENSG00000117360
ENSG00000004975	ENSG00000120500
ENSG00000004975	ENSG00000120896
ENSG00000004975	ENSG00000124074
ENSG00000004975	ENSG00000127191
ENSG00000004975	ENSG00000131721
ENSG00000004975	ENSG00000131931
ENSG00000004975	ENSG00000137135
ENSG00000004975	ENSG00000140320
ENSG00000004975	ENSG00000140481
ENSG00000004975	ENSG00000145365
ENSG00000004975	ENSG00000149532
ENSG00000004975	ENSG00000151929
ENSG00000004975	ENSG00000154124
ENSG00000004975	ENSG00000157110
ENSG00000004975	ENSG00000159210
ENSG00000004975	ENSG00000160062
ENSG00000004975	ENSG00000161203
ENSG00000004975	ENSG00000163530
ENSG00000004975	ENSG00000163877
ENSG00000004975	ENSG00000166228
ENSG00000004975	ENSG00000170967
ENSG00000004975	ENSG00000187778
ENSG00000004975	ENSG00000196150
ENSG00000004975	ENSG00000197279
ENSG00000004975	ENSG00000205937
ENSG00000004975	ENSG00000206181
ENSG00000004975	ENSG00000213923
ENSG00000004975	ENSG00000283900
ENSG00000005194	ENSG00000108010
ENSG00000005238	ENSG00000175602
ENSG00000006015	ENSG00000112559
ENSG00000006125	ENSG00000072958
ENSG00000006125	ENSG00000076242
ENSG00000006125	ENSG00000108771
ENSG00000006125	ENSG00000124733
ENSG00000006125	ENSG00000128408
ENSG00000006125	ENSG00000129354
